CREATE TABLE bintest (p postcode, d dps);
\copy bintest FROM '/home/dave/dev/postcode/data/binary.data' WITH BINARY;
SELECT * FROM bintest;
    p     | d  
 WD5 0QZ  | 8R
 EH11 2RW | 8H
 GU27 2PL | 8A
 NP15 2DS | 2F
 WN6 7BB  | 7B
 BT12 5JG | 7J
 RG2 8JX  | 6T
 ML8 4DD  | 9L
 PE13 3HD | 2B
 CV22 6BA | 3S
 OL12 9UA | 7D
 TA20 2DF | 5Q
 RH1 4HL  | 2Z
 BN3 1NJ  | 8P
 BT36 5EX | 2H
 CV6 3EX  | 9T
 WS3 1HL  | 6U
 NW1 1SG  | 3B
 BN17 6QU | 2T
 DA1 1XW  | 9S
 LS27 9HB | 7T
 DE75 7SZ | 1B
 NR2 4TP  | 2U
 BS20 1AW | 3A
 OX16 5LZ | 2P
 ST6 4RT  | 6G
 PO11 9RL | 6Y
 WA2 8SP  | 3U
 LN1 1RY  | 3Z
 SM6 7NQ  | 5L
 BN8 6DR  | 9B
 RG6 7XQ  | 8F
 CT15 4WW | 1J
 TS10 3PG | 3X
 FK9 4XJ  | 5B
 KA13 6EP | 1X
 SY11 3QF | 4D
 TW18 1DT | 2H
 KY11 1JD | 2G
 NW5 4BD  | 3H
 TW3 3WY  | 9Q
 TN21 8UE | 5R
 SO19 2NX | 4G
 OX2 6JT  | 5W
 BS20 6QJ | 8J
 DA14 6NL | 5P
 RG12 8ZG | 9U
 HX1 5BD  | 8Y
 GL7 3DJ  | 9H
 ML7 5RF  | 7Q
 M27 8YY  | 8X
 DE7 5FB  | 7N
 NN8 4DN  | 9X
 TW9 1FL  | 4L
 HU8 8DP  | 1L
 CA17 4DN | 7B
 ST5 1LT  | 3J
 SO32 2ZE | 6S
 CH45 3JA | 4L
 BA12 7NL | 6P
 RH20 1DG | 3U
 WV10 0LJ | 6P
 BR2 7AU  | 5D
 PE20 1HT | 8T
 EC1M 5NR | 2P
 TN12 6TG | 7T
 EC1R 0DQ | 7B
 W2 3QG   | 6S
 WA10 3PE | 3T
 HG4 4HG  | 4Y
 W14 0RE  | 4B
 HU11 4DX | 6A
 BN27 1LX | 7Y
 BN3 3BQ  | 4P
 CO9 1BL  | 7N
 TF4 2LJ  | 5G
 ST21 6HN | 7U
 CM8 1XP  | 6H
 GU4 7JS  | 1X
 NG34 0JJ | 5E
 DL1 9FE  | 2R
 KT22 7JB | 1W
 G64 1TF  | 3S
 CB2 5PT  | 3Z
 FK8 2JY  | 3B
 TN9 1LT  | 5H
 OX2 6LQ  | 8Z
 WF1 4FD  | 9A
 WA3 6XU  | 1U
 WA7 4QX  | 7N
 AB43 7EJ | 5Z
 BL3 6LP  | 6P
 NR11 8UY | 2Q
 HU13 9YQ | 4D
 M26 4BP  | 2L
 S41 0NU  | 3G
 N16 1EL  | 3Z
 PE18 6TU | 7Z
 S75 3JT  | 9L
 LU1 4HA  | 5Z
 NR16 2EG | 2Y
 RH13 5JR | 1A
 M34 5YL  | 9P
 ME6 5GD  | 1Z
 FY8 3RG  | 7L
 AL5 3BH  | 7L
 M5 3FT   | 9N
 DY4 8TP  | 4Z
 NG8 1QD  | 3R
 GU31 4ZJ | 9W
 NP18 2LW | 1Y
 CF32 9BW | 1Y
 E5 9NU   | 3L
 ML8 4HD  | 7T
 BS39 5DY | 4E
 CF48 4AQ | 9S
 YO25 4WU | 1E
 G20 6YT  | 2S
 TR7 2SB  | 8D
 NW11 6YN | 8T
 SA73 2DD | 5J
 AL5 1AY  | 5E
 HP4 9BJ  | 5Q
 LN5 9WY  | 1B
 ML4 1HJ  | 8T
 NN29 7XB | 5J
 BH18 9DD | 7S
 SS9 5EX  | 5E
 TR10 8YG | 9J
 HA5 5RX  | 3F
 G69 0JQ  | 6J
 NW4 9DY  | 9W
 MK13 0DL | 4W
 CO6 1WZ  | 1E
 BH12 2EW | 7S
 DE15 9BQ | 3Y
 BA1 0QN  | 5E
 DL12 8UF | 1P
 CW12 3SW | 5J
 NN18 9JS | 2N
 NG15 8HA | 7Y
 BS4 1AR  | 8J
 LE19 9BB | 5T
 M20 4XQ  | 4D
 NR34 7DT | 9D
 BT92 0EG | 4L
 E5 8XG   | 5P
 BT65 5BJ | 1W
 WD1 8HH  | 7T
 DE4 9DR  | 3Q
 BT78 5SE | 3B
 TN32 5UL | 9S
 FK3 0AP  | 4B
 IP27 0EA | 4Q
 BD14 6EL | 8A
 HU10 7NR | 9J
 EX14 9PY | 5D
 BT66 6SN | 7P
 RG9 4WG  | 9J
 G78 1DD  | 3E
 RG7 1EE  | 6J
 KW1 5QB  | 5R
 ML1 3SR  | 9Y
 W4 1GB   | 4P
 SY1 3JX  | 5Y
 EH14 1JX | 9T
 LS28 7BP | 7B
 MK8 8NA  | 3F
 PO1 9SN  | 5D
 NG10 1BX | 3Z
 ME17 4US | 5J
 CV34 4ST | 4D
 EX1 1NT  | 8L
 SK4 3YY  | 1G
 DN35 8DP | 7X
 B10 9BD  | 8L
 LS14 5BN | 2N
 ML11 0HP | 6B
 EX8 5LX  | 6D
 IM9 6PB  | 4W
 LS15 8RP | 3L
 HU3 3LB  | 4U
 CO2 8XP  | 5D
 N20 8LZ  | 9L
 NE66 9AT | 6T
 CB4 5HD  | 5Z
 B2 5WA   | 3S
 EH15 1JZ | 8S
 NE33 4BE | 2Z
 DT6 6DZ  | 3Z
 IV3 5HB  | 6A
 KY4 8EA  | 1G
 SK9 3NS  | 5G
 KY16 9SG | 9F
 BA16 0NP | 4Q
 W1T 1LA  | 6E
 SO31 5FA | 3Z
 WS7 2DT  | 1S
 NP23 5SN | 2S
 LD3 7RH  | 6L
 SA4 1AU  | 8A
 BH4 8YG  | 1Q
 NR1 2QR  | 6T
 SG3 6XD  | 4F
 NG22 9NT | 4S
 LA14 9DA | 2F
 TA12 6JQ | 4L
 CR0 1BP  | 2A
 BT78 2PR | 9F
 OX1 2ES  | 5P
 S11 8HH  | 4P
 ST10 2PB | 3N
 BH17 0RY | 3A
 SM1 4WL  | 4L
 SP1 2JX  | 3B
 PL3 4WU  | 8P
 BT36 7DT | 8R
 LL17 0EE | 6S
 SO53 2NS | 5S
 SY21 9BB | 7U
 LS16 6HY | 2Q
 JE2 4WA  | 7H
 IM9 3DQ  | 5X
 BL9 6FS  | 7A
 SK1 4ER  | 9W
 BD2 4RU  | 5D
 NG7 1NF  | 2S
 TD11 3JF | 5D
 EC1M 7WB | 9L
 W1A 7DH  | 8B
 RM16 2DX | 2N
 EH4 8AD  | 4A
 NW11 7FH | 3E
 SE4 1JE  | 2D
 GL54 5AS | 4J
 WD23 2ND | 8S
 EN8 7GD  | 6W
 BA2 7XX  | 5E
 KT19 9LY | 9U
 NE26 2AN | 5F
 E1 6UY   | 5F
 CF31 5NA | 1N
 SO45 5ZP | 4U
 NE1 6LP  | 6W
 NW3 9SG  | 9E
 NE4 6TL  | 7U
 TN9 1RW  | 3F
 DN8 5DX  | 5Z
 IM3 3HG  | 1Z
 CB8 0GQ  | 3S
 NR15 1HU | 6J
 OX7 6PL  | 6S
 CF38 2PN | 8L
 PO7 7FA  | 1H
 TW18 4JX | 4D
 S66 2SU  | 4A
 S60 2JH  | 9L
 ZE1 0NP  | 9Y
 LD3 7BU  | 7A
 BT30 7TH | 2X
 CR7 8NA  | 7Y
 CT11 0AA | 8N
 DE6 9AB  | 3N
 LU2 8LE  | 8Q
 M45 8GS  | 5T
 FK3 8NY  | 7G
 BR1 5ZF  | 3Z
 BT19 7NY | 8Z
 M21 8YE  | 5T
 EC2M 4YP | 4Q
 UB8 1HN  | 1Q
 G84 0YG  | 7Z
 S6 2XA   | 1N
 SP4 8AA  | 8B
 KW1 5NA  | 2G
 NN4 4AD  | 2S
 CV21 2NL | 1W
 LE14 4EY | 7T
 PL6 5JT  | 9Q
 SO17 1DA | 2Y
 EX10 8QH | 9S
 S8 0HR   | 1R
 DA7 4PZ  | 1A
 FY5 1RB  | 3S
 DL1 3RH  | 3L
 HU7 4JT  | 2Z
 L13 8WB  | 6W
 SK7 1QN  | 5W
 LL33 0NL | 1H
 LS9 0NX  | 1Z
 KA19 8BN | 5L
 WN8 9UF  | 5T
 DN20 0UE | 7T
 PL5 1LH  | 7Y
 N10 2HH  | 5Z
 S41 0UY  | 1B
 NW9 1EY  | 7A
 IM1 1JA  | 1S
 DL13 2PB | 8G
 RM11 1AA | 1A
 RG20 0BG | 8P
 FY5 1JZ  | 1S
 WN4 9JP  | 3E
 M14 6UE  | 7T
 W1A 2TY  | 7S
 NP24 6HB | 3L
 CR0 3PA  | 9H
 RH1 2LH  | 5J
 WR13 6YB | 5U
 SE17 3BF | 5X
 SO16 5JB | 1G
 SW20 0UF | 9U
 CB6 2JS  | 7G
 TQ1 3HG  | 1A
 GU14 7NQ | 4S
 SW7 1DD  | 9Q
 RH12 4HJ | 6Q
 RH1 1FY  | 4D
 BD1 4DF  | 4P
 WD18 1BR | 1R
 SW12 9PU | 8L
 LE9 7ZS  | 4E
 DN16 1NF | 4W
 LS8 2LY  | 3S
 SW11 3LR | 6Z
 ML3 7WG  | 3U
 BT70 9AT | 6F
 BS15 3EZ | 2H
 NG16 3JR | 4D
 TN15 8DY | 8G
 EX15 3PQ | 7U
 N20 8HA  | 9T
 BT14 8BD | 1F
 LS27 9XS | 5B
 BT23 8NR | 5G
 S30 3BH  | 7S
 GU34 1SD | 2B
 TQ12 1TZ | 1L
 PL5 1HJ  | 5P
 S6 1RR   | 2Q
 RM9 4PP  | 2F
 DA8 9BX  | 1N
 DA8 1LN  | 8A
 FY8 9AR  | 8A
 B76 1PE  | 4R
 WF17 9DD | 8Q
 DD1 1DQ  | 1J
 CV34 9LX | 9Z
 OX4 5YS  | 9T
 NR7 0QT  | 2D
 KT15 2LG | 7Z
 BN99 6QZ | 4X
 BN22 0UZ | 5Y
 LE18 4XZ | 2G
 SN25 3WT | 4N
 ME7 5NB  | 8G
 BL1 3NL  | 5X
 CM23 9AW | 9B
 ST8 6GA  | 4B
 M40 9JS  | 3Y
 G67 2EN  | 7D
 SO50 5ND | 7W
 S3 7BP   | 7D
 LE8 0WQ  | 4L
 RG7 1QU  | 9U
 DL3 7HZ  | 4R
 FY4 2HE  | 6R
 CH49 6PY | 8A
 SA73 1EG | 4E
 M30 7NA  | 1Z
 NE29 7BW | 6Y
 DN2 5EW  | 1H
 CA11 8TG | 5Y
 DN16 1SB | 8Z
 SE5 7WN  | 2G
 EN6 5EW  | 3D
 PE24 5BA | 6U
 E8 4NP   | 1D
 TN22 5ZF | 9P
 SS14 0WB | 5D
 B46 1JZ  | 8R
 CT2 7RX  | 8X
 W1T 3DZ  | 5Z
 SM1 3TR  | 7N
 DY10 4NG | 3Q
 WS12 5RJ | 5T
 RG7 3PG  | 7P
 MK15 9BU | 2D
 TN2 4RD  | 3X
 N6 6DG   | 9E
 OX18 4AA | 5Y
 TW9 2UQ  | 1F
 ME1 2DE  | 8U
 PE33 0DX | 1X
 WN7 3WA  | 5U
 GL56 0AY | 2U
 WA10 2AW | 7D
 B96 6HT  | 9S
 KY15 4ED | 6F
 OL16 5QG | 8Q
 SE6 2QG  | 9G
 HA0 3AF  | 9H
 SY25 6EF | 3X
 ME1 2AN  | 2S
 SG16 6XW | 5J
 NN17 9EY | 4W
 SS8 9WN  | 2D
 B98 7HT  | 8S
 NW8 0SJ  | 7P
 DN3 1SD  | 2J
 G81 2EY  | 4X
 CT18 7JY | 2Z
 CB10 1DT | 2J
 LU3 2NF  | 6A
 NR12 8LL | 8T
 WA2 0NA  | 9S
 CH47 1HL | 8Z
 G23 5HY  | 7P
 AB54 6YQ | 4Q
 BB9 8TN  | 8B
 SE23 3PD | 4U
 WD3 8PW  | 7N
 LE10 9SD | 6H
 HR9 7DA  | 9W
 DN1 1TR  | 6J
 RM17 5UT | 9T
 ME14 5ED | 7T
 PE2 7FD  | 9A
 LU1 9BD  | 4X
 EX14 4XZ | 8D
 SL6 9ES  | 1P
 KT10 9XY | 3U
 SG9 0QA  | 2S
 B69 2PD  | 7X
 NW10 5QA | 2Q
 SO53 2WS | 9G
 BL3 5DR  | 3L
 AB12 4RX | 1E
 LS28 5EX | 9Y
 AB55 5BS | 5A
 TN14 7DE | 1U
 KY1 3EP  | 7H
 DT10 2YQ | 5Y
 NG5 4PR  | 9G
 SN10 3SG | 7W
 WF10 4TR | 8R
 CV32 5SY | 3F
 RH14 9DE | 1B
 DG4 6NE  | 2E
 KT12 2JT | 3U
 LD3 8HP  | 3W
 MK8 0LZ  | 5L
 BR1 3ET  | 9P
 W1N 0LH  | 5N
 SO30 3DU | 2A
 RH2 0HN  | 1W
 DN14 5BW | 5D
 SK15 2HD | 1U
 WC1H 9WD | 2Q
 WR11 2WU | 2A
 RG20 5RW | 3S
 WF1 9BH  | 9G
 PE19 3XR | 2E
 S30 2LF  | 4T
 WF7 6ET  | 4R
 SW5 0DT  | 4W
 PO1 9SB  | 6P
 IV30 5US | 6E
 DG2 0NS  | 5Z
 M44 5DA  | 9E
 PL14 5WA | 5U
 BN20 7RL | 9S
 NR34 7UF | 5H
 M5 2XD   | 3J
 TR6 0EQ  | 8P
 NP16 5ZR | 4A
 DE23 6TB | 9Q
 RG19 6YZ | 8N
 BH5 2EL  | 6Y
 DN32 0HH | 5X
 SG8 8BE  | 8Q
 M11 4EQ  | 4Y
 FY5 5LN  | 5J
 WS13 7HX | 9Q
 PL5 2ED  | 6F
 BT67 9DL | 3A
 W1J 5AE  | 3F
 BA3 5FQ  | 6Y
 OX16 7JD | 8G
 LS28 7QL | 1A
 S9 1TB   | 9U
 TR11 4AH | 6D
 CA5 7AB  | 8N
 CF39 9AP | 7T
 DN2 6HU  | 1U
 SA13 1YW | 5Q
 M30 8GL  | 7D
 DE5 8JA  | 7L
 CF37 2RU | 8T
 HP11 9DS | 5B
 B6 7QA   | 7Z
 NG18 4YH | 4G
 LE65 2LQ | 8Q
 OX9 5AH  | 6N
 SA11 3TN | 5Z
 W1U 6PA  | 3N
 NG5 3DR  | 7G
 DL13 1JJ | 3F
 CW12 4UE | 7X
 OX6 0XD  | 9Q
 SS7 5TA  | 4W
 RH19 4UU | 4G
 NG14 6GE | 5W
 BH9 2BJ  | 5T
 AL10 0ZN | 8P
 CT5 4HW  | 5R
 PE27 3HE | 9A
 HP22 9HF | 2Z
 SO19 8AD | 4F
 SL3 6QE  | 8L
 IP29 4BS | 8B
 SY23 3AD | 7E
 LE6 0HJ  | 6F
 SN2 6PT  | 3X
 SK6 5EW  | 7L
 OX11 9WA | 2G
 WV4 4SY  | 5Z
 FY8 3US  | 2B
 LS17 9BH | 6G
 PL32 9RN | 4N
 AB25 2NT | 8F
 ME15 7TH | 7R
 E11 4FQ  | 5T
 SW4 6WR  | 5E
 BT12 5HP | 2Y
 BN17 6UR | 3R
 LS17 9DJ | 2Y
 NE10 0AP | 7S
 DH8 6TY  | 5Z
 SE6 1PR  | 7A
 SW4 6ZJ  | 8Z
 FK15 0LA | 5Y
 ML1 5RH  | 7P
 W1K 6DH  | 5H
 WA7 6QU  | 5Q
 NE8 2AP  | 2A
 NR21 9LH | 6R
 WS14 0YL | 2R
 TW18 2QW | 8R
 NW10 5DE | 9Z
 BH21 4AQ | 8Y
 SE14 6NU | 7H
 LL14 5LS | 2J
 TA4 2QG  | 5J
 LN1 1WZ  | 1F
 EX32 7PH | 3A
 G13 4SF  | 3R
 DT2 7LH  | 2J
 PL21 0JT | 3U
 LL31 9AG | 1Q
 N22 7DB  | 8S
 CT20 9BL | 6W
 SN17 3BP | 4F
 BS9 2RQ  | 9J
 CT10 3PX | 6F
 SN13 8BX | 5L
 SS0 9YB  | 7X
 S2 3QX   | 2G
 AL6 0JY  | 2A
 ME20 6SH | 8R
 CV37 9DY | 7T
 IP7 6QY  | 9P
 S81 8RB  | 2Y
 NG4 4PF  | 1J
 WN2 5NY  | 2X
 WV3 9BA  | 3A
 TQ7 1LA  | 7R
 CV6 7YF  | 8L
 N15 4TU  | 9D
 TN17 1JT | 6P
 WF4 5RB  | 4Z
 L20 2EE  | 6H
 G60 5LT  | 7F
 SO40 9JD | 1F
 WD6 1NJ  | 4B
 W1V 8BH  | 2T
 ME2 3NB  | 2G
 L70 2QP  | 8E
 PL1 2YH  | 1Q
 SL1 5BP  | 6X
 RG42 9AT | 5E
 SK5 6NX  | 9D
 M20 4TN  | 8F
 WS11 6XQ | 4H
 PE14 8PR | 2Z
 AB51 0DQ | 5F
 TS5 7ND  | 9E
 BB10 1AE | 6T
 HR9 5HU  | 3F
 BR3 1RP  | 2B
 W2 3GA   | 6U
 DG4 6NR  | 9X
 IG8 1JN  | 9A
 BT78 3AR | 6T
 NW5 4NL  | 5A
 DN1 3SH  | 1E
 DD2 5QZ  | 6P
 E1W 3GL  | 1H
 DN11 8NJ | 8D
 SA15 4LT | 3F
 NW10 0AD | 7S
 SS12 0JG | 5F
 BT42 1HW | 7Z
 HA2 7HJ  | 5N
 RG17 0DA | 5Y
 CA1 2QA  | 9X
 CV7 9RD  | 1G
 TQ1 3NH  | 6X
 S12 2FS  | 1Q
 ME10 1FE | 5B
 CF14 9BH | 3H
 S1 2XZ   | 2R
 IV2 3GA  | 1Z
 WV5 7BS  | 1W
 CO9 2DX  | 9A
 DE21 7TZ | 6W
 L26 7AL  | 1D
 NE65 8JR | 4A
 NG5 6DN  | 2X
 W1H 7BG  | 5L
 CF61 1UX | 6R
 GU20 6EE | 5D
 SW19 8NE | 3J
 NW11 7ES | 7P
 LU7 7AL  | 8H
 NE10 0DJ | 2Z
 LS7 1EF  | 4F
 PO9 3QN  | 4Y
 GU10 3PA | 9X
 TA20 2RU | 4W
 NE19 1RB | 2P
 LN8 6YZ  | 2X
 EX20 1HT | 4S
 BL9 9HW  | 1T
 OX15 4FL | 4W
 CB2 4LY  | 8R
 BA1 4YL  | 8R
 SN25 1XF | 7L
 CB8 8WY  | 2J
 BD16 1JT | 1W
 DN33 1AX | 5J
 BH11 0ER | 2P
 OL2 7UG  | 4L
 KY11 2AP | 1X
 PR3 1QG  | 7Y
 SY21 8WX | 2L
 GL2 4QA  | 5S
 BS25 5NH | 4X
 W8 6DE   | 9R
 LU1 3AL  | 4S
 DN12 4TS | 2N
 CH1 3BA  | 3D
 G53 6AE  | 6T
 BL1 9AH  | 4J
 IP4 4AY  | 3Y
 NE12 8JH | 9L
 N5 2ZN   | 9R
 ML2 8NG  | 4X
 CM3 8BW  | 6E
 CT16 9SB | 4Z
 NN16 9FL | 6Q
 EN1 3TB  | 1J
 BN25 3UN | 5W
 TN2 9HF  | 4H
 L2 2UD   | 7F
 GU34 4HD | 9W
 NR12 0DH | 8F
 PH2 7YW  | 2E
 GY5 7AX  | 5D
 S35 0EE  | 2P
 PE13 4QG | 5G
 W1U 6NX  | 5Y
 B9 5AT   | 3D
 SR2 7WU  | 8R
 BN23 8GW | 3S
 S35 1SA  | 4J
 YO7 4JP  | 1X
 S6 6GU   | 9E
 SW18 1TL | 3S
 RH2 9HL  | 1A
 HD8 9AZ  | 6F
 CF44 6AH | 1Z
 NG17 8PS | 7L
 ME16 0TG | 2Q
 B42 1UN  | 9Q
 CH65 2DX | 3U
 TN29 9LX | 9A
 ME18 5LD | 2B
 EX39 5UZ | 1L
 NG20 0PY | 7T
 LE10 2DG | 4B
 SL2 5EN  | 6S
 NE5 3QA  | 5N
 WF14 8LD | 4F
 S6 4FG   | 7P
 LA3 2SJ  | 6X
 GL11 5AP | 8S
 KA9 1TP  | 3T
 PR3 1UY  | 5D
 LS13 4QH | 8G
 LA11 7JX | 3S
 TA7 8BP  | 7D
 SR8 4AS  | 1L
 SG14 2HX | 3F
 NP12 0BG | 5D
 W1D 3NE  | 3Z
 KT24 6YN | 7N
 TW14 8SF | 6D
 UB5 5ZA  | 8S
 ST2 7PE  | 9D
 HU12 9HE | 7F
 NN8 2EP  | 8B
 GL1 1WR  | 2Y
 CT21 4QB | 5L
 M15 5RH  | 4H
 LL34 6RA | 9X
 SW20 2EQ | 8A
 ME7 5YT  | 6B
 NE26 3TP | 6N
 HD4 5LG  | 2G
 SA5 9DN  | 7T
 SE9 3EW  | 2X
 CV23 9EH | 1F
 BB5 6DX  | 6L
 SW6 5WH  | 3Y
 BH16 5ZU | 4F
 SL4 1GH  | 2A
 SO40 0FU | 6A
 LS27 8QW | 4H
 FK3 8TX  | 2G
 SY13 1JB | 9Q
 RM11 2PR | 4S
 S41 7WX  | 9F
 PE27 5PN | 7B
 DG12 5LQ | 7H
 LS17 7NA | 9F
 M9 4EE   | 3E
 HU17 9JL | 6G
 SK1 1YS  | 9B
 SN1 3NG  | 8F
 OX9 3XE  | 6R
 LE17 6EE | 1H
 SE18 5LD | 8D
 EH6 5YZ  | 2U
 SS8 7DH  | 8B
 BN14 0BZ | 5H
 HS1 2QP  | 7Z
 CB1 7UA  | 9Y
 WF1 4HF  | 2B
 LE65 9DY | 1W
 CV1 3LN  | 8L
 AB33 8WT | 9X
 EH19 3FP | 9X
 BT35 8ND | 6L
 SE28 0JL | 1G
 OL10 4QR | 4G
 WF1 9WA  | 4F
 IP22 4DG | 8H
 G69 6DP  | 9B
 B61 9AB  | 7D
 CB10 2WP | 5R
 S81 7PE  | 1Z
 SW7 4PH  | 2W
 LE67 8QL | 6P
 SL2 2PF  | 5Y
 RG5 3JB  | 1L
 L16 9JH  | 3B
 ST20 0YR | 9P
 HR4 8AR  | 3W
 CT1 9JG  | 2H
 EH7 6FY  | 7S
 GU18 5XB | 8Y
 W6 7DR   | 9Z
 B13 3AJ  | 8L
 SO16 3QT | 7B
 PR5 5HR  | 5S
 WF15 6LT | 7F
 PE21 9AY | 7J
 BN23 7HY | 4L
 HA2 9WE  | 5A
 NE19 2DP | 8R
 M33 2FX  | 8N
 LU6 3JD  | 7R
 HX2 0UN  | 6P
 BD10 0DA | 3W
 G43 2XT  | 9E
 EH12 6JL | 3N
 LA5 9UD  | 7Q
 CM20 9HF | 2D
 GL54 5YA | 7E
 LD1 9WX  | 1A
 LE18 3QA | 2N
 BT32 5PA | 2B
 NE3 5BU  | 5T
 SA44 5HA | 5T
 PE22 9AW | 9B
 RG40 5QB | 7W
 E5 0RN   | 5L
 WS14 9NG | 2N
 HD5 0LZ  | 2X
 SA44 6SD | 4P
 L13 8AZ  | 9W
 DE75 7LU | 2U
 BD3 0DZ  | 5E
 CR4 1JA  | 7Z
 LS25 6JS | 3U
 BN13 3JR | 1F
 SA7 9LA  | 3J
 PO15 6BG | 3U
 ST17 9AH | 7E
 BT48 7HR | 3U
 TR26 3EQ | 2Y
 NG9 7GL  | 5B
 B63 4JS  | 1Y
 NE9 6NU  | 5Z
 ME4 5UT  | 2Z
 LE12 9ZD | 8G
 L39 6WW  | 6Z
 WS13 7PF | 5J
 ME5 9SS  | 2B
 DE4 5AW  | 4G
 CW2 5DH  | 8N
 LS17 6LA | 5H
 LS19 6NX | 7G
 LA23 1DZ | 5B
 L35 3RG  | 6R
 S75 1EB  | 3L
 PO3 5FT  | 1T
 CO4 5DD  | 5D
 JE4 9NF  | 9J
 DH1 5XG  | 6X
 NR15 2BE | 9T
 G82 1LS  | 7H
 CF3 1YF  | 2Z
 B15 3DH  | 7Z
 KT15 3RF | 8W
 PO32 6JP | 4L
 SG1 2ZG  | 7H
 SG1 6BT  | 4S
 BT80 9AW | 6T
 CV10 9LQ | 1E
 SA73 1JT | 4G
 CH62 5BG | 8S
 CH48 5DP | 6W
 S81 7RX  | 2Z
 KA7 4HP  | 5B
 PR25 2DH | 7H
 CT8 8TW  | 4Q
 TA6 4UR  | 1X
 L33 8YT  | 1B
 CR2 8NL  | 8H
 LL32 8YQ | 9Z
 EC1V 2XA | 7W
 N10 3TS  | 2X
 TW15 1YS | 4P
 TN27 9WY | 8T
 CM23 4BX | 1G
 EN5 3ED  | 5X
 BT74 9DF | 5E
 BN9 0DS  | 9N
 RG23 7DA | 3B
 S36 6BS  | 1J
 CH62 8AS | 6D
 HP27 0SQ | 4P
 PO21 4SR | 4N
 SE18 1ZQ | 4B
 NP10 9EP | 2X
 SW6 6FJ  | 7A
 RG4 8RB  | 2U
 BT15 4AB | 1B
 BS25 1LW | 8Q
 WS7 0AL  | 3U
 B60 2TN  | 8L
 SA44 6PG | 4B
 SN3 2PQ  | 6N
 LE17 9AD | 5Y
 ME15 9SW | 4U
 BN43 5PR | 8W
 TW9 3HD  | 6H
 W1B 5QQ  | 7Z
 BA21 3QP | 3N
 TA1 2HG  | 9X
 PL18 9SD | 9Z
 DE73 7JY | 3S
 N1 6XA   | 8N
 SA14 9YU | 1Q
 W1A 7TY  | 7H
 CF14 5YR | 4B
 HG4 1PS  | 4B
 BB1 9GJ  | 8B
 LA3 3JY  | 3N
 IV1 1NE  | 6E
 BN1 6WQ  | 1A
 HD7 3AF  | 7F
 PE36 6BQ | 2L
 EN1 4LD  | 1W
 WD25 0HG | 1U
 MK3 7DW  | 6E
 CR2 7LR  | 2F
 BT82 8AL | 2X
 SE10 9LH | 5B
 HP16 9QH | 3U
 HA5 5QF  | 4L
 YO25 0BR | 9F
 SR4 9EW  | 4P
 SP3 5ZU  | 4P
 CO13 0US | 5N
 SW10 0NZ | 3E
 KA1 2LA  | 5D
 WA8 3HZ  | 7H
 RG5 3YQ  | 4B
 SW6 6NH  | 4A
 CM9 6SS  | 8D
 DT2 9QZ  | 2Y
 CM16 7RQ | 1E
 EH45 8PE | 8E
 EC1R 4PY | 2Q
 OX28 5GF | 1G
 KY16 9UB | 3X
 GL12 8YA | 6L
 HD6 4AU  | 8H
 L1 5HA   | 1X
 M7 4SA   | 8P
 WD3 1FE  | 3Q
 N6 5TS   | 7P
 RG2 7DS  | 8X
 TR15 1LP | 6G
 L69 7RR  | 3A
 HA7 9AX  | 6N
 WF9 1EH  | 1G
 TA12 6BT | 7R
 S8 8LF   | 8B
 NW4 4YQ  | 1E
 SE4 1RT  | 3S
 SO14 2RD | 5P
 RH20 3PL | 2A
 TA2 7LA  | 2L
 PO14 3SL | 8R
 BB2 3UR  | 4J
 NG9 9DW  | 6X
 DN19 7AR | 6G
 BL1 5SX  | 6H
 OX11 7PR | 5J
 RG30 2YY | 4A
 OX17 3SN | 4P
 NE12 7PT | 3A
 GU29 0QD | 4Y
 E10 5DB  | 5N
 BD16 4YJ | 3T
 SA15 3EF | 4Y
 DA4 9NA  | 7J
 DN36 4RD | 6D
 BT8 6JS  | 4H
 ML2 7WH  | 7P
 RM17 6QU | 5T
 IP14 3JA | 7J
 M30 0RW  | 1B
 M3 7NJ   | 2D
 AL10 9PH | 6Q
 DA16 1DH | 5D
(4000 rows)

